n,2n,3(n-1)
1,2,0
2,4,0
4,8,1
8,16,0
16,32,5
32,64,0
5,10,0
64,128,21
10,20,3
128,256,0
21,42,0
20,40,0
3,6,0
256,512,85
42,84,0
40,80,13
6,12,0
512,1024,0
85,170,28
84,168,0
80,160,0
13,26,4
12,24,0
1024,2048,341
170,340,0
28,56,9
168,336,0
160,320,53
26,52,0
24,48,0
2048,4096,0
341,682,0
340,680,113
56,112,0
9,18,0
336,672,0
320,640,0
53,106,0
52,104,17
48,96,0
4096,8192,1365
682,1364,227
680,1360,0
113,226,0
112,224,37
18,36,0
672,1344,0
640,1280,213
106,212,35
104,208,0
17,34,0
96,192,0
8192,16384,0
1365,2730,0
1364,2728,0
227,454,0
1360,2720,453
226,452,75
224,448,0
37,74,12
36,72,0
1344,2688,0
1280,2560,0
213,426,0
212,424,0
35,70,0
208,416,69
34,68,11
192,384,0
16384,32768,5461
2730,5460,0
2728,5456,909
454,908,151
2720,5440,0
453,906,0
452,904,0
75,150,0
448,896,149
74,148,0
72,144,0
2688,5376,0
2560,5120,853
426,852,0
424,848,141
70,140,23
416,832,0
69,138,0
68,136,0
11,22,0
384,768,0
32768,65536,0
5461,10922,1820
5460,10920,0
5456,10912,0
909,1818,0
908,1816,0
151,302,50
5440,10880,1813
906,1812,0
904,1808,301
150,300,0
896,1792,0
149,298,0
148,296,49
144,288,0
5376,10752,0
5120,10240,0
853,1706,284
852,1704,0
848,1696,0
141,282,0
140,280,0
23,46,0
832,1664,277
138,276,0
136,272,45
22,44,7
768,1536,0
65536,131072,21845
10922,21844,0
1820,3640,0
10920,21840,0
10912,21824,3637
1818,3636,0
1816,3632,605
302,604,0
50,100,0
10880,21760,0
1813,3626,604
1812,3624,0
1808,3616,0
301,602,100
300,600,0
1792,3584,597
298,596,99
296,592,0
49,98,16
288,576,0
10752,21504,0
10240,20480,3413
1706,3412,0
284,568,0
1704,3408,0
1696,3392,565
282,564,0
280,560,93
46,92,15
1664,3328,0
277,554,92
276,552,0
272,544,0
45,90,0
44,88,0
7,14,2
1536,3072,0
131072,262144,0
21845,43690,0
21844,43688,7281
3640,7280,1213
21840,43680,0
21824,43648,0
3637,7274,1212
3636,7272,0
3632,7264,0
605,1210,0
604,1208,201
100,200,33
21760,43520,7253
3626,7252,0
3624,7248,0
3616,7232,1205
602,1204,0
600,1200,0
3584,7168,0
597,1194,0
596,1192,0
99,198,0
592,1184,197
98,196,0
576,1152,0
21504,43008,0
20480,40960,0
3413,6826,0
3412,6824,1137
568,1136,189
3408,6816,0
3392,6784,0
565,1130,188
564,1128,0
560,1120,0
93,186,0
92,184,0
15,30,0
3328,6656,1109
554,1108,0
552,1104,0
544,1088,181
90,180,0
88,176,29
14,28,0
3072,6144,0
262144,524288,87381
43690,87380,14563
43688,87376,0
7281,14562,0
7280,14560,0
1213,2426,404
43680,87360,0
43648,87296,14549
7274,14548,0
1212,2424,0
7272,14544,0
7264,14528,2421
1210,2420,403
1208,2416,0
201,402,0
200,400,0
33,66,0
43520,87040,0
7253,14506,0
7252,14504,2417
7248,14496,0
7232,14464,0
1205,2410,0
1204,2408,401
1200,2400,0
7168,14336,2389
1194,2388,0
1192,2384,397
198,396,0
1184,2368,0
197,394,0
196,392,65
1152,2304,0
43008,86016,0
40960,81920,13653
6826,13652,2275
6824,13648,0
1137,2274,0
1136,2272,0
189,378,0
6816,13632,0
6784,13568,2261
1130,2260,0
188,376,0
1128,2256,0
1120,2240,373
186,372,0
184,368,61
30,60,0
6656,13312,0
1109,2218,0
1108,2216,369
1104,2208,0
1088,2176,0
181,362,60
180,360,0
176,352,0
29,58,0
6144,12288,0
524288,1048576,0
87381,174762,0
87380,174760,0
14563,29126,4854
87376,174752,29125
14562,29124,0
14560,29120,4853
2426,4852,0
404,808,0
87360,174720,0
87296,174592,0
14549,29098,0
14548,29096,4849
2424,4848,0
14544,29088,0
14528,29056,0
2421,4842,0
2420,4840,0
403,806,134
2416,4832,805
402,804,0
400,800,133
66,132,0
87040,174080,29013
14506,29012,4835
14504,29008,0
2417,4834,0
14496,28992,0
14464,28928,4821
2410,4820,803
2408,4816,0
401,802,0
2400,4800,0
14336,28672,0
2389,4778,796
2388,4776,0
2384,4768,0
397,794,132
396,792,0
2368,4736,789
394,788,131
392,784,0
65,130,0
2304,4608,0
86016,172032,0
81920,163840,0
13653,27306,0
13652,27304,0
2275,4550,758
13648,27296,4549
2274,4548,0
2272,4544,757
378,756,0
13632,27264,0
13568,27136,0
2261,4522,0
2260,4520,753
376,752,125
2256,4512,0
2240,4480,0
373,746,124
372,744,0
368,736,0
61,122,20
60,120,0
13312,26624,4437
2218,4436,739
2216,4432,0
369,738,0
2208,4416,0
2176,4352,725
362,724,0
360,720,0
352,704,117
58,116,19
12288,24576,0
1048576,2097152,349525
174762,349524,0
174760,349520,58253
29126,58252,0
4854,9708,0
174752,349504,0
29125,58250,9708
29124,58248,0
29120,58240,0
4853,9706,0
4852,9704,1617
808,1616,269
174720,349440,0
174592,349184,58197
29098,58196,9699
29096,58192,0
4849,9698,1616
4848,9696,0
29088,58176,0
29056,58112,9685
4842,9684,0
4840,9680,1613
806,1612,0
134,268,0
4832,9664,0
805,1610,268
804,1608,0
800,1600,0
133,266,44
132,264,0
174080,348160,0
29013,58026,0
29012,58024,0
4835,9670,0
29008,58016,9669
4834,9668,1611
28992,57984,0
28928,57856,0
4821,9642,0
4820,9640,0
803,1606,0
4816,9632,1605
802,1604,267
4800,9600,0
28672,57344,9557
4778,9556,0
796,1592,265
4776,9552,0
4768,9536,1589
794,1588,0
792,1584,0
4736,9472,0
789,1578,0
788,1576,0
131,262,0
784,1568,261
130,260,43
4608,9216,0
172032,344064,0
163840,327680,54613
27306,54612,0
27304,54608,9101
4550,9100,0
758,1516,0
27296,54592,0
4549,9098,1516
4548,9096,0
4544,9088,0
757,1514,252
756,1512,0
27264,54528,0
27136,54272,9045
4522,9044,1507
4520,9040,0
753,1506,0
752,1504,0
125,250,0
4512,9024,0
4480,8960,1493
746,1492,0
124,248,41
744,1488,0
736,1472,245
122,244,0
120,240,0
26624,53248,0
4437,8874,0
4436,8872,0
739,1478,246
4432,8864,1477
738,1476,0
4416,8832,0
4352,8704,0
725,1450,0
724,1448,241
720,1440,0
704,1408,0
117,234,0
116,232,0
19,38,6
24576,49152,0
2097152,4194304,0
349525,699050,116508
349524,699048,0
349520,699040,0
58253,116506,0
58252,116504,19417
9708,19416,0
349504,699008,116501
58250,116500,0
58248,116496,0
58240,116480,19413
9706,19412,3235
